0,1,2,3,4,5,6
categorie d'article evenement,titre de l'article La 8ème édition de la journée DOCTORIALES VSST 2024,date de l'article 02/12/2024 08:49,le lien de l'article https://ensah.ma/public/newsDetails.php?idNews=2852,"description de l'article Chères et chers Collègues Bonjour, Prière d assurer une large diffusion de l information auprès des jeunes chercheurs de votre établissement. Appel à communication par poster La 8ème ÉDITION DES DOCTORIALES VSST 2024 - SÉANCE COMMUNIQUER ET CONVAINCRE, POSTER À L APPUI ENSA d Al-Hoceima, le samedi 21 décembre 2024 Les Doctoriales VSST s adressent à tous les doctorants souhaitant mieux définir leur avenir professionnel et désireux d approfondir leurs connaissances dans le domaine de la recherche scientifique, de l innovation et de l entreprenariat, quel que soit leur projet de carrière (recherche fondamentale, enseignement, entreprise ou culture). Les Doctoriales est une occasion d apprendre à mieux se former et à valoriser la R D des doctorants. Dynamiser le réseau professionnel des doctorants, générer des rencontres avec les acteurs socio-économique et culturels, tels sont les objectifs de la 8ème édition des Doctoriales Forum Jeune Chercheurs. Cette 8ème édition sera organisée le samedi 21 décembre 2024 au Pôle Universitaire d Al-Hoceima, après l organisation des précédentes éditions à Grenade (Espagne), durant le colloque international VSST, 2015. Al-Hoceima (Maroc), 2015. Rabat (Maroc), durant le colloque international VSST, 2016. Al-Hoceima (Maroc), durant le colloque international ISKO-Maghreb, 2017. Toulouse (France), durant le colloque international VSST, 2018. Al-Hoceima (Maroc), 2019 Webinar, 2020 Une journée pour provoquer des déclics sur les atouts d une formation par la méthodologie de la recherche scientifique, la richesse et la qualité des compétences des doctorants, la nécessité de construire un projet professionnel solide, présenter son travail à des non-spécialistes et s ouvrir à d autres horizons scientifiques et culturels à travers les rencontres interdisciplinaires, initier des rencontres avec les acteurs du monde socio-économique pour révéler les atouts des docteurs au service de leur structure et société. Les Doctoriales est une vitrine de la recherche et de l innovation développées dans notre région pour l ensemble des acteurs socio-économique. CONTEXTE La journée Doctoriales VSST 2024 est axée sur la présentation poster. L exercice proposé a pour objectif de savoir présenter, animer et convaincre les aptitudes requises pour tout porteur de projet autant dans le secteur privé que public. Dans ce cadre, chaque doctorant présentera en 20 minutes questions comprises, à son équipe, au moyen d un poster format A1 préparé à l avance. Ce poster doit bien sûr réalisé et imprimé avant les Doctoriales. DATES IMPORTANTES Date limite de soumission de poster et d inscription au Doctoriales VSST 2024 le dimanche 15 décembre 2024 Inscription gratuite via le formulaire https docs.google.com forms d e 1FAIpQLSdOLL7Mv3M0BxNq4fQM9X5iZWG4VnfuMgBEJ7WryQuaF72-sw viewform PROGRAMME PROVISOIRE DE LA JOURNÉE DOCTORIALES 09h30 10h00 Séance d ouverture 10h00 10h45 La Recherche Scientifique à l UAE Présidence UAE 10h45 11h30 Doctorat au Maroc ? les pistes d amélioration de la performance et l excellence de la recherche scientifique Pr. Mustapha BENNOUNA, ex-Président UAE 11h30 12h00 Pause-Café 12h00 13h00 Lab-Sc. à Ciel Ouvert Communiquer et Convaincre, Poster à l appui 13h00 14h00 Rédaction et Publication Scientifiques les Clés du Succès Pr. Kacem RHARRABE, UAE 14h00 14h30 Séance de clôture 3 Best Poster Awards Pour plus d information https vsst.link https://vsst.link/",,liens images convaincre: https://ensah.ma/files/news/02122024084325363808990229.jpg; programe: https://ensah.ma/files/news/02122024084300350857434586.jpg
categorie d'article recrutement,titre de l'article دورة 20 06 2024 Informatique IA النتيجة النهائية لمباراة توظيف أستاذ محاضر في تخصص,date de l'article 29/11/2024 12:26,le lien de l'article https://ensah.ma/public/newsDetails.php?idNews=2848,description de l'article L annonce complète est disponible via le fichier attaché ci-dessous,liens PDF Document PDF associée: https://ensah.ma/files/news/29112024122519489817664970.pdf,
categorie d'article avis,titre de l'article Programme Bourses Doctorants Moniteurs 2024 2025,date de l'article 25/11/2024 15:32,le lien de l'article https://ensah.ma/public/newsDetails.php?idNews=2841,,liens PDF Document PDF associée: https://ensah.ma/files/news/25112024134303872293279723.pdf,liens images Programme Bourses Doctorants Moniteurs 2024: https://ensah.ma/files/news/25112024134314983589874928.jpg
categorie d'article evenement,titre de l'article Le thé Scientifique est de retour,date de l'article 20/11/2024 11:01,le lien de l'article https://ensah.ma/public/newsDetails.php?idNews=2833,"description de l'article Cher réseau, Le thé Scientifique est de retour, un endroit incontournable, pour le partage des sciences de manière conviviale et décontractée. Le Thé Scientifique est un séminaire mensuel organisé par les enseignants Chercheurs et les doctorants en Science d Ingénieur du Pôle Universitaire d Al-Hoceima, dans une ambiance transdisciplinaire. La 11ème édition du Webinar Thé Scientifique aura lieu le jeudi 21 novembre 2024 de 12h30 à 13h30 sous la thématique Crise d eau au Maroc Décoder l Empreinte Eau pour réussir la Transition Hydrique au Maroc animée par le Pr. Hossain El Ouarghi de l ENSAH et Directeur du Laboratoire des Sciences Appliquées (LSA). l Ecole Nationale des Sciences Appliquées d Al Hoceima (ENSAH)",,liens images the scientifique: https://ensah.ma/files/news/20112024110043784548192768.jpeg
categorie d'article recrutement,titre de l'article Informatique نتائج الانتقاء الأولي لمباراة توظيف أستاذ محاضر دورة 2024 06 20 تخصص,date de l'article 20/11/2024 10:30,le lien de l'article https://ensah.ma/public/newsDetails.php?idNews=2835,description de l'article L annonce complète est disponible via le fichier attaché ci-dessous,liens PDF Document PDF associée: https://ensah.ma/files/news/20112024102152681413565316.pdf,
categorie d'article avis,titre de l'article AVIS DE SOUTENANCE DE THESE DE DOCTORAT - Mr EL BASTRIOUI Mohamed,date de l'article 19/11/2024 10:07,le lien de l'article https://ensah.ma/public/newsDetails.php?idNews=2828,,,liens images AVIS DE SOUTENANCE DE THESE DE DOCTORAT: https://ensah.ma/files/news/19112024100443142999345259.jpeg
categorie d'article evenement,titre de l'article توقيع اتفاقية شراكة بين المدرسة الوطنية للعلوم التطبيقية بالحسيمة وغرفة التجارة والصناعة والخدمات جهة طنجة تطوان الحسيمة,date de l'article 16/11/2024 13:24,le lien de l'article https://ensah.ma/public/newsDetails.php?idNews=2825,"description de l'article توقيع اتفاقية شراكة بين المدرسة الوطنية للعلوم التطبيقية بالحسيمة وغرفة التجارة والصناعة والخدمات جهة طنجة تطوان الحسيمة .في إطار تعزيز الانفتاح على محيطها السوسيو-اقتصادي تم يوم 13 نوفمبر 2024 توقيع اتفاقية إطار شراكة بين المدرسة الوطنية للعلوم التطبيقية بالحسيمة وغرفة التجارة الصناعة والخدمات لجهة طنجة تطوان الحسيمة وذلك بحضور عامل إقليم الحسيمة .تهدف هذه الاتفاقية إلى تعزيز التعاون بين الطرفين في مجالات عدة تشمل التكوين المستمر البحث والتطوير والتحول الرقمي وذلك بهدف تعزيز التنمية الاقتصادية والاجتماعية على مستوى الإقليم والجهة وتتضمن الاتفاقية عددا من المحاور الرئيسية وهي .التكوين المستمر توفير برامج تدريبية متخصصة لفائدة المهنيين والعاملين في مختلف القطاعات الاقتصادية .التحول الرقمي في قطاع السياحة تطوير برامج تهدف إلى تعزيز المهارات الرقمية في هذا القطاع الحيوي .المؤتمرات والفعاليات العلمية تنظيم فعاليات علمية تستهدف تعزيز تبادل المعرفة والابتكار .البحث والتطوير والابتكار دعم المشاريع البحثية وتنمية الحلول المبتكرة التي تساهم في تعزيز التنمية المستدامة .وفي هذا السياق تم أيضا توقيع اتفاقية خاصة باحداث برنامج شهادة التكوين في التحول الرقمي في مجال السياحة والذي سيتم فتح باب التسجيل فيه قريبا .من خلال هذه المبادرة تسعى المدرسة الوطنية للعلوم التطبيقية بالحسيمة إلى المساهمة في تطوير الكفاءات البشرية المتخصصة داخل الإقليم وتعزيز دورها كشريك أساسي للتنمية بما يعود بالنفع على تطوير قطاع السياحة والاقتصاد المحلي On November 13, 2024, The National School of Applied Sciences of Al Hoceima and the Chamber of Commerce, Industry and Services of Tangier-Tetouan-Al Hoceima signed a framework partnership agreement under the auspices of the Governor of Al Hoceima province. The purpose of this agreement is to strengthen collaboration between the two parties in various fields, particularly in the areas of continuing education, research and development, and more. The agreement aims to establish the general terms and agreed-upon areas of collaboration, which include - Continuing education - Digital transformation in the tourism sector - Conferences and scientific events - Research, development, and innovation - National and international development Additionally, the two parties signed an initial specific agreement aimed at launching a certification program in the field of digital transformation in the tourism sector, with training sessions set to begin in the near future. Furthermore, through other targeted training programs, the National School of Applied Sciences of Al Hoceima will support the Chamber of Commerce at the regional and local levels in the development of specialized human capital and the enhancement of internal skills. L ENSAH et la Chambre de Commerce, d Industrie et de Services de la Région Tanger Tétouan Al Hoceima ont signé le 13 Novembre 2024 une convention cadre de partenariat, sous le patronage du gouverneur de la province d Al-Hoceima, qui a pour ambition de renforcer leurs liens de coopération dans de nombreux domaines, notamment celui de la formation continue, la R D, Ladite convention cadre a pour objet de fixer les dispositions générales et les axes de partenariat convenus conjointement, il s agit de La formation continue La transformation digitale dans le Tourisme Les conférences et manifestations scientifiques La recherche, développement et innovation Le développement national et international. Une 1ère convention spécifique a été signée entre les deux parties qui a pour objet de lancer un certificat de Transformation Digitale dans le domaine de Tourisme, dont la formation sera ouverte très prochainement. Aussi, à travers d autres programmes de formation ciblés, l ENSAH accompagnera la Chambre de Commerce, d Industrie et de Services de la Région Tanger Tétouan Al Hoceima au niveau de province d Al-Hoceima et régional dans le développement du capital humain spécialiste et des compétences internes.",,liens images img1: https://ensah.ma/files/news/16112024125711168345880270.jpeg; img2: https://ensah.ma/files/news/16112024125722661674280383.jpeg; img3: https://ensah.ma/files/news/16112024125733734391990253.jpeg; img4: https://ensah.ma/files/news/16112024125938539988199674.jpeg
categorie d'article avis,titre de l'article ENSAH et la FSTH en collaboration avec Campus France Maroc organisent des ateliers au profit des étudiants du campus universitaire d Al-Hoceima,date de l'article 15/11/2024 10:52,le lien de l'article https://ensah.ma/public/newsDetails.php?idNews=2810,"description de l'article Dans le cadre de notre mission de soutien aux futurs candidats de la double diplomation avec les universités françaises, l et la en collaboration avec organisent des ateliers au profit des étudiants du campus universitaire d Al-Hoceima Le lundi 25 novembre 2024, à 17h00, Amphi B, ENSAH. Ensemble, faisons de votre candidature un succès.",,
categorie d'article condoléance,titre de l'article تعزية,date de l'article 14/11/2024 14:05,le lien de l'article https://ensah.ma/public/newsDetails.php?idNews=2823,description de l'article L annonce complète est disponible via le fichier attaché ci-dessous,liens PDF Document PDF associée: https://ensah.ma/files/news/14112024140451494398209184.pdf,
categorie d'article recrutement,titre de l'article 20 06 2024 - دورة ENERGITIQUE MECANIQUE نتيجة الانتقاء الأولي لمباراة توظيف أستاذ محاضر تخصص,date de l'article 13/11/2024 13:18,le lien de l'article https://ensah.ma/public/newsDetails.php?idNews=2822,description de l'article L annonce complète est disponible via le fichier attaché ci-dessous,liens PDF Document PDF associée: https://ensah.ma/files/news/13112024131317895030447211.pdf,
